application,charDescription,hasSequence,qtyChar,uom,rateChar,totalChar,vendorRate,deDescription,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
V3,Admin Fee,0,,AF,,SC_ADMIN_CUST,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Auto Allowance,0,,,,AUTO_ALLOWANCE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Background Investigation,0,,,,BACKGROUND_CHECK,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Bereavement,0,YY160_BEREAV_DAYS,DA,YY163_BEREAV_DAYS_RATE,YY165_BEREAV_TOTAL_DAYS_RATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Bereavement,1,YY161_BEREAV_HRS,HR,YY162_BEREAV_HRS_RATE,YY164_BEREAV_TOTAL_HRS_RATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Bonus,0,,,,YY166_BONUS_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Commission,0,,,,YY168_COMMISSION_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Daily,0,YY150_DAILY_PAY_DAYS,DA,YY151_DAILY_PRICE,YY152_DAILY_TOTAL_RATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Daily,1,SC_DAILY_PAY_DAYS,DA,SC_DAILY_PRICE,SC_DAILY_TOTAL_RATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Direct Placement Fee,0,,,,YY143_DIRECT_PLACEMENT,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Drug Screening,0,,,,DRUG_SCREENING,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,EACH,0,EACH,EA,EACH_PRICE,EACH_TOTAL_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,HOUR,0,HOUR,HR,HOUR_PRICE,HOUR_TOTAL_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,HW,0,YY176_HW_HRS,HR,YY177_HW_HRS_PRICE,YY178_HW_TOTAL_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Holiday,0,YY169_HOL_DAYS,DA,YY172_HOL_DAYS_PRICE,YY174_HOL_TOTAL_DAYS_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Holiday,1,YY170_HOL_HRS,HR,YY171_HOL_HRS_PRICE,YY173_HOL_TOTAL_HRS_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Housing Allowance,0,,,,HOUSING_ALLOWANCE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Jury Duty,0,YY179_JURY_DAYS,DA,YY182_JURY_DAYS_PRICE,YY184_JURY_TOTAL_DAYS_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
V3,Jury Duty,1,YY180_JURY_HRS,HR,YY181_JURY_HRS_PRICE,YY183_JURY_TOTAL_HRS_PRICE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71147,CUD
