salesOrg,distChannel,division,custPricingProc,pricingProc,conditionType
1000,BP,1,Z1,ZUS,ZLAB
1000,BP,1,ZZ,ZUS,ZLAB
1000,CP,1,Z1,ZUS,ZLAB
1000,CR,1,Z1,ZUS,ZLAB
1000,DP,1,Z1,ZUS,ZLAB
1000,IC,1,Z1,ZUS,ZLAB
1000,MS,1,Z1,ZMS,ZPAY
1000,SC,1,Z1,ZMS,ZPAY
1100,BP,1,Z1,ZUS,ZLAB
1100,BP,1,ZZ,ZUS,ZLAB
1100,CP,1,Z1,ZUS,ZLAB
1100,CP,1,ZZ,ZIC,ZLAB
1100,CR,1,Z1,ZUS,ZLAB
1100,CR,1,ZZ,ZIC,ZLAB
1100,DP,1,Z1,ZUS,ZLAB
1100,IC,1,Z1,ZUS,ZLAB
1100,MS,1,Z1,ZMS,ZPAY
1100,SC,1,Z1,ZMS,ZPAY
1150,BP,1,Z1,ZUS,ZLAB
1150,CP,1,Z1,ZUS,ZLAB
1150,CP,1,ZZ,ZIC,ZLAB
1150,CR,1,Z1,ZUS,ZLAB
1150,CR,1,ZZ,ZIC,ZLAB
1150,DP,1,Z1,ZUS,ZLAB
1200,BP,1,Z1,ZUS,ZLAB
1200,BP,1,ZZ,ZUS,ZLAB
1200,CP,1,Z1,ZUS,ZLAB
1200,CP,1,ZZ,ZIC,ZLAB
1200,CR,1,Z1,ZUS,ZLAB
1200,CR,1,ZZ,ZIC,ZLAB
1200,DP,1,Z1,ZUS,ZLAB
1200,IC,1,Z1,ZUS,ZLAB
1200,MS,1,Z1,ZMS,ZPAY
1200,MS,1,ZC,ZSCUS,ZPAY
1200,SC,1,Z1,ZSCUS,ZPAY
1700,BP,1,Z1,ZUS,ZLAB
2100,BP,1,Z1,ZCAD,ZLAB
2100,BP,1,ZZ,ZCAD,ZLAB
2100,CP,1,Z1,ZCAD,ZLAB
2100,CR,1,Z1,ZCAD,ZLAB
2100,DP,1,Z1,ZCAD,ZLAB
2100,IC,1,Z1,ZCAD,ZLAB
2100,MS,1,Z1,ZMSC,ZPAY
2200,BP,1,Z1,ZCAD,ZLAB
2200,BP,1,ZZ,ZCAD,ZLAB
2200,CP,1,Z1,ZCAD,ZLAB
2200,CR,1,Z1,ZCAD,ZLAB
2200,DP,1,Z1,ZCAD,ZLAB
2200,IC,1,Z1,ZCAD,ZLAB
2200,MS,1,Z1,ZMSC,ZPAY
2200,SC,1,Z1,ZSCCA,ZPAY
5200,BP,1,Z1,ZDEMS,ZPAY
5200,BP,1,ZZ,ZDEMS,ZPAY
5200,CP,1,Z1,ZDE,ZLAB
5200,DP,1,Z1,ZDEMS,ZPAY
5200,DP,1,ZZ,ZDEMS,ZPAY
5200,MS,1,Z1,ZDEMS,ZPAY
9300,BP,1,Z1,ZUS,ZLAB
9300,BP,1,ZZ,ZUS,ZLAB
9300,CP,1,Z1,ZUS,ZLAB
9300,CP,1,ZZ,ZIC,ZLAB
9300,CR,1,Z1,ZUS,ZLAB
9300,CR,1,ZZ,ZIC,ZLAB
9300,DP,1,Z1,ZUS,ZLAB
9300,IC,1,Z1,ZUS,ZLAB
9300,MS,1,Z1,ZMS,ZPAY 
