customValue,description,characteristicName,fieldName,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
Z01,CUSTOMER BUSINESS UNIT,CUST_BUSINESS_UNIT,YY216_CUST_BUSINESS_UNIT,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z02,CUSTOMER CHARGE NUMBER,CUST_CHARGE_NUMBER,YY217_CUST_CHARGE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z03,CUSTOMER COST CENTER,CUST_COST_CENTER2,YY250_CUST_COST_CENTER2,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z04,CUSTOMER COMPANY CODE,CUST_COMPANY_CODE,YY220_CUST_COMPANY_CODE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z05,CUSTOMER DEPARTMENT NUMBER,CUST_DEPT_NUMBER,YY221_CUST_DEPT_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z06,CUSTOMER DOTS NUMBER,CUST_DOTS_NUMBER,YY222_CUST_DOTS_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z07,CUSTOMER RUI,CUST_RUI,YY223_CUST_RUI,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z08,CUSTOMER WEEKLY TIME CLOCK FEE,WEEKLY_CLOCK_FEE,YY144_WEEKLY_CLOCK_FEE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z09,CUSTOMER ACCOUNT NUMBER,CUST_ACCT_NUMBER,YY224_CUST_ACCT_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z10,CUSTOMER BUDGET CENTER,CUST_BUDGET_CENTER,YY225_CUST_BUDGET_CENTER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z11,CUSTOMER CONTRACT NUMBER,CUST_CON_NUMBER,YY226_CUST_CON_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z12,CUSTOMER SG VENDOR NUMBER,CUST_VENDOR_NUMBER,YY227_CUST_VENDOR_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z13,CUSTOMER MANAGER E.MAIL,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z14,CUSTOMER MANAGER NAME,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z15,CUSTOMER MANAGER PHONE NUMBER,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z16,CUSTOMER ORG CODE,CUST_ORG_CODE,YY228_CUST_ORG_CODE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z17,CUSTOMER LEGAL ENTITY,CUST_LEGAL_ENTITY,YY229_CUST_LEGAL_ENTITY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z18,CUSTOMER ORACLE NUMBER,CUST_ORACLE_NUMBER,YY230_CUST_ORACLE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z19,CUSTOMER UNIT STORE NUMBER,CUST_UNIT_STORE_NUMBER,YY231_CUST_UNIT_STORE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z20,JOB TITLE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z21,S LINE ITEM DESCRIPT - FOR SDI IBM,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z22,SERVICE START DATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z23,SERVICE END DATE,,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z24,CUSTOMER EMPLOYEE NUMBER (GREAT BATCH),CUST_EMPLOYEE_NUMBER,YY233_CUST_EMPLOYEE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z25,CUSTOMER AGREEMENT NAME,CUST_AGREE_NUMBER,YY234_CUST_AGREE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z26,CUSTOMER BACKGROUND CHECK DATE,CUST_BGRD_CHECK_DATE,YY241_CUST_BGRD_CHECK_DATE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z27,CUSTOMER DIVISION UNIT,CUST_DIV_UNIT_NUMBER,YY242_CUST_DIV_UNIT_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z28,CUSTOMER FEPS CODE,CUST_FEPS_CODE,YY236_CUST_FEPS_CODE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z29,CUSTOMER POSITION CODE/JOB ID,CUST_POSITION,YY237_CUST_POSITION,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z30,SUPPLIER'S INVOICE (SUBCON SCENARIO),SUPPLIER_INVOICE_NUMBER,SUPPLIER_INVOICE_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z31,TASK #,CUST_TASK15,YY235_CUST_TASK15,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z32,CUSTOMER G/L CODE,CUST_GL_CODE,YY238_CUST_GL_CODE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z33,BB#,CUST_BB_NUMBER,YY240_CUST_BB_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z34,PROJECT NUMBER,CUST_PROJECT_NUMBER,YY218_CUST_PROJECT_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z35,PURCHASE AGREEMENT,CUST_PURCHASE_AGREE,YY239_CUST_PURCHASE_AGREE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z36,SERVICE DATE - FOR SDI IBM,CUST_SVC_DATE,YY232_CUST_SVC_DATE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z37,CUSTOMER POSITION,CUST_POSITION,YY237_CUST_POSITION,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z38,CUSTOMER COMMODITY CODE,CUST_COMMODITY_CODE2,CUST_COMMODITY_CODE2,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z39,CUSTOMER CATEGORY CODE,CUST_CATERGORY_CODE2,CUST_CATERGORY_CODE2,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z40,CUSTOMER PO LINE ITEM (SOW-SC),SC_LINE_ITEM_NUMBER,YY6_SC_LINE_ITEM_NUMBER,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z41,,ZSD_FIELD_VALUE,,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z42,ACCELERARED PAYMENT FEE DISCOUNT,ACCELERATED_FEE_DISC_VEN,ACCELERATED_FEE_DISC_VEN,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z43,ACA PRICE,ACA_HRS_PRICE,YY3_ACA_HRS_PRICE,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z44,MS ST MARK UP %,MARK_UP_RG,YY118_MARK_UP_RG,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z45,MS OT MARK UP %,MARK_UP_OT,YY119_MARK_UP_OT,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
Z46,MS DB MARK UP %,MARK_UP_DB,YY120_MARK_UP_DB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71143,CFVC
