customerNo,region,materialNo,shiftDifferential,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
10519,AB,100001411,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,AB,100001460,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000095,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000100,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000189,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000190,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000195,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000196,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100000569,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001420,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001423,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001424,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001425,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001433,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001434,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001468,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NB,100001490,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100000189,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100000194,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100000195,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100000196,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100000325,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100001421,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100001433,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100001435,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100001468,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,NS,100001485,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100000113,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100000803,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100001430,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100001438,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100001467,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
10519,ON,100001486,X,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71133,ESDFC
