CREATEDAT,CREATEDBY,MODIFIEDAT,MODIFIEDBY,CUSTOMERNO,SITECODENAME,SITENAME,SITEADDRESS1,SITEADDRESS2,CITY,STATE,ZIPCODE,COUNTRY_CODE,COUNTY,TAXJURISDICTION,CONFIG_ID,CONFIG_TABLENAME
,,,,1,AK-ANCH,Anchorage Field Office,4401 Business Park Blvd,Suit N-46,Anchorage,AK,99503,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,AL-MONT,Montgomery AL Location,2000 Interstate Park Drive,Suite 401,Montgomery,AL,36109,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,AL-VIRT,Remote - Alabama,,,,AL,36101,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,AR-VIRT,Remote-Arkansas,,,Little Rock,AR,72205,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,AZ-PHOE,Phoenix Field Office,2122 East Highland Ave,Suite 225,Phoenix,AZ,85016,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CA-ALHA,Alhambra Field Office,1000 South Fremont Ave,Ste 10020 Unit 65 Bldg A-10,Alhambra,CA,91803,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CA-CULVR,Culver City Field Office,100 Corporate Pointe,Suite 395,Culver City,CA,90230,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CA-IRVNE,Irvine Office,350 Commerce,Suite 100,Irvine,CA,92602,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CA-SACR,Sacramento Field Office,660 J. Street,Suite 270,Sacramento,CA,95814,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CA-SANAN,Santa Ana office,825 N Parkcenter Drive,Suite 102,Santa Ana,CA,92705,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CO-DENV,Denver Field Office,1120 Lincoln St,Suite 809,Denver,CO,80203,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,CT-HARTF,Hartford Field Office,100 Corporate Drive,Suites 102 104 108 110,Windsor,CT,6095,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,DC-WASH,Washington DC Field Office,1001 Pennsylvania NW,Suite 600 South,Washington,DC,20004,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,FL-MRMR,IG - Miramar Office,2901 SW 149th Avenue,3rd Floor,Miramar,FL,33027,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,FL-Orlando,FL-Orlando,7083 Grand National Drive,Suite 104,Orlando,FL,32819,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,GA-ATLA,Atlanta Field Office,5660 New Northside Drive,Suite 750,Atlanta,GA,30339,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,IA-DEMO,Des Moines Field Office,100 Army Post Road,,Des Moines,IA,50315,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,ID-BOIS,Boise Field Office,701 Morrison Knudsen Dr,Suite 100,Boise,ID,83712,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,IL-VIRT,Illinois Virtual,,,,IL,60601,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
,,,,1,IN,Indiana--for IVD Govt Services,132 E. Washington,,Indianapolis,IN,43202,USA,,,fe184c3b-92c4-4bda-a6cf-aec221d71138,SCAM
