ID,interfaceType_ID,process_code,name,runner_ID,breakExecution,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
0020,1,1,FILE VALIDATION,0001,true,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0030,1,2,HIRE/RE-HIRE PROCESS,0002,true,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0036,1,U,CHECK EMPLOYEE CREATION S4,0036,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0050,1,3,SALES ORDER CREATE/CHANGE,0004,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0055,1,F,UPDATE SALES ORDER PARTNERS,0010,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0040,1,4,INTERNAL ORDER CREATE,0003,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0060,1,C,UPDATE INTERNAL ORDER,0006,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0065,1,E,SMART SEARCH ADDITIONAL INFOTYPE,0007,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0070,1,8,READY FOR OUTBOUND PROCESS,0008,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0080,1,Z,MANUALLY REJECTED,9999,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0020,3,1,FILE VALIDATION,0001,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0030,3,T,TIME PROCESS,0009,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0040,3,3,SALES ORDER CREATE/CHANGE,0004,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0045,3,G,INTERCOMPANY SALES ORDER CREATE/CHANGE,0014,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0050,3,5,PURCHASE ORDER/CHANGE,0015,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0057,3,B,MIRO CREATE,0016,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0080,3,9,INTERFACE PROCESS COMPLETE,0019,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0090,3,Z,MANUALLY REJECTED,0010,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0020,M,1,FILE VALIDATION,0001,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0050,M,3,SALES ORDER CREATE/CHANGE,0004,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0055,M,F,UPDATE SALES ORDER PARTNERS,0023,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0040,M,4,ENTERPRISE PROJECT CREATE,0003,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0060,M,5,PURCHASE ORDER/CHANGE,0025,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0067,M,6,UPDATE SALES ORDER,0026,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0068,M,C,UPDATE INTERNAL ORDER,0006,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0070,M,8,READY FOR OUTBOUND PROCESS,0008,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0080,M,Z,MANUALLY REJECTED,9999,false,2025-02-17T00:00:00.000Z,routk@qubittron.com,2025-02-19T00:00:00.000Z,routk@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0020,S,1,FILE VALIDATION,0001,true,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0030,S,2,HIRE/RE-HIRE PROCESS,0002,true,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0036,S,U,CHECK EMPLOYEE CREATION S4,0036,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0050,S,3,SALES ORDER CREATE/CHANGE,0004,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0055,S,F,UPDATE SALES ORDER PARTNERS,0010,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0040,S,4,INTERNAL ORDER CREATE,0003,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0060,S,C,UPDATE INTERNAL ORDER,0006,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0065,S,E,SMART SEARCH ADDITIONAL INFOTYPE,0007,false,2025-02-17T00:00:00.000Z,bavarvap@qubittron.com,2025-02-19T00:00:00.000Z,bavarvap@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0070,S,8,READY FOR OUTBOUND PROCESS,0008,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0080,S,Z,MANUALLY REJECTED,9999,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0010,U,1,FILE VALIDATION,0001,true,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0020,U,2,HIRE/RE-HIRE PROCESS,0002,true,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0026,U,S,Hiredinsuccessfactors,0026,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0030,U,4,ENTERPRISE PROJECT CREATE,0003,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
0040,U,E,SMART SEARCH ADDITIONAL INFOTYPE,0007,false,2025-02-17T00:00:00.000Z,mudrakolas@qubittron.com,2025-02-19T00:00:00.000Z,mudrakolas@qubittron.com,b526ce31-5a9e-4916-9961-20bb1743c89b,IFS
