code,name,descr,config_ID,config_tableName
0,FILE LOADED,File Load,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
1,FILE VALIDATION,File Validation,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
2,HIRE/RE-HIRE PROCESS,Employee Hire/Re-Hire Process,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
3,SALES ORDER CREATE/CHANGE,Sales Order Create/Change,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
4,ENTERPRISE PROJECT CREATE,Enterprise Project Create,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
5,PURCHASE ORDER/CHANGE,Purchase Order Create/Change,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
6,UPDATE SALES ORDER,Update Sales Order,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
7,CREATE EMPLOYEE VENDOR,Create Employee Vendor,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
8,READY FOR OUTBOUND PROCESS,Ready for Outbound Process,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
9,INTERFACE PROCESS COMPLETE,Interface Process Complete,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
A,TRIP,Trip,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
B,MIRO CREATE,MIRO Create,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
C,UPDATE PROJECT,Update Project,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
D,UPDATE DELIVERY ADDRESS ON PO,Update Delivery Address on PurchaseOrder,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
E,SMART SEARCH ADDITIONAL INFOTYPE,Smart Search Additional Infotype,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
F,UPDATE SALES ORDER PARTNERS,Update Sales Order Partners,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
G,INTERCOMPANY SALES ORDER CREATE/CHANGE,Intercompany Sales Order Create/Change,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
H,REJECT SALES ORDER,Reject Sales Order,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
I,REJECT IC SALES ORDER,Reject IC Sales Order,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
J,CANCEL MIRO,Cancel MIRO,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
K,REJECT PO,Reject PurchaseOrder,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
L,CREATE CREDIT MEMO REQUEST,Create Credit Memo Request,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
M,CREATE IC CREDIT MEMO REQUEST,Create IC Credit Memo Request,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
N,CREATE MIRO CREDIT,Create MIRO Credit,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
O,DELETE PARTNER FUNCTION,Delete Partner Function,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
P,DELETE PARTNER FUNCTION IC,Delete Partner Function IC,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
Q,MAINTAIN CONTRACT DATES,Maintain Contract Dates,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
R,UPDATE HR COST DISTRIBUTION,Update HR Cost Distribution,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
T,TIME PROCESS,Time Process,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
S,HIRED IN SUCCESSFACTORS,Hired in SuccessFactors,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
Z,MANUALLY REJECTED,Manually Rejected,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
U,CHECK EMPLOYEE CREATION S4,check Employee Creation S4,d17e998b-b573-4a0e-9f18-728a083d6f7d,PL
