ID,executor,createdAt,createdBy,modifiedAt,modifiedBy
0001,validateRecords,2002-10-26T18:30:00.000Z,createdBy.5fr97@qubittron.com,2023-07-24T18:30:00.000Z,modifiedBy.5fr97@qubittron.com
0002,employeeHire,2013-04-26T18:30:00.000Z,createdBy.5fr98@qubittron.com,2022-03-26T18:30:00.000Z,modifiedBy.5fr98@qubittron.com
0003,processProject,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0004,processSalesOrder,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0005,deleteOrderPartners,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0006,processProject,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0007,updateInfotype,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0008,markRecordsCompleted,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0009,processTime,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0010,processOrderPartners,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0014,processIntercompanyso,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0015,processPurchaseOrder,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0016,processSupplierInvoice,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0017,processHrCostDistObj,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0018,RejectSO,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0019,RejectSOIC,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0020,CancelMIRO,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0021,CancelPO,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0022,CreateCRMEMO,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0023,CreateCRMEMOIC,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0024,CreditMIRO,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0025,DeletePF,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0026,Hiredinsuccessfactors,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
0036,checkEmployeeCreationS4,2014-05-21T18:30:00.000Z,createdBy.5fr99@qubittron.com,2002-02-04T18:30:00.000Z,modifiedBy.5fr99@qubittron.com
