salesOrganization,distributionChannel,division,custPricProcedure,pricingProcedure,conditionType,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
1000,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,BP,01,ZZ,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,CP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,CR,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,DP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,IC,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,MS,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1000,SC,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,BP,01,ZZ,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,CP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,CP,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,CR,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,CR,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,DP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,IC,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,MS,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1100,SC,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,CP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,CP,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,CR,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,CR,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1150,DP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,BP,01,ZZ,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,CP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,CP,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,CR,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,CR,01,ZZ,ZIC,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,DP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,IC,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,MS,01,Z1,ZMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,MS,01,ZC,ZSCUS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1200,SC,01,Z1,ZSCUS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
1700,BP,01,Z1,ZUS,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,BP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,BP,01,ZZ,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,CP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,CR,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,DP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,IC,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2100,MS,01,Z1,ZMSC,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,BP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,BP,01,ZZ,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,CP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,CR,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,DP,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,IC,01,Z1,ZCAD,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,MS,01,Z1,ZMSC,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
2200,SC,01,Z1,ZSCCA,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,BP,01,Z1,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,BP,01,ZZ,ZDEMS,ZPAY,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
5200,CP,01,Z1,ZDE,ZLAB,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71145,DSCT
