country_code,region,city,taxJurisdiction,createdAt,createdBy,modifiedAt,modifiedBy,config_ID,config_tableName
US,HI,KAILUA-KONA,1500123000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,AMES,19BN018550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,ANKENY,19BE023050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,ATLANTIC,1929035200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,BETTENDORF,19BJ063550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,BOONE,1915074800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,BURLINGTON,1957095500,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,CARTER LAKE,19BF112150,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,CEDAR FALLS,1913117550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,CEDAR RAPIDS,19AH120000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,CLIVE,1949145200,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,CORALVILLE,19AB162300,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,COUNCIL BLUFFS,19BF168600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,DAVENPORT,19BJ190000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,DENISON,1947199450,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,DES MOINES,19BE210000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,DUBUQUE,1906122395,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,DUNCOMBE,19BZ227550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,FERGUSON,19AP497550,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,FORT MADISON,19AG286050,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,GRIMES,19BE330600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,GRUNDY CENTER,1975331950,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,GRUNDYCENTER,1975331950,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,HAMPTON,1969339600,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,HARLAN,19BL345000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,HILLS,19AB363450,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,INDEPENDENCE,1919381000,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,INDIANOLA,19BV382800,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,IOWA CITY,19AB385950,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,JOHNSTON,19BE397650,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
US,IA,KEOKUK,19AG408450,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71135,CTJC
