paymentTerm,netPaymentTerm,modifiedAt,modifiedBy,createdAt,createdBy,config_ID,config_tableName
3000,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3005,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3010,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3015,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3020,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3025,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3030,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3035,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3040,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3045,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3050,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3055,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3060,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3065,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3070,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3075,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3080,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3085,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3090,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3095,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3100,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3105,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3110,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3115,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3120,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3125,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3130,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3135,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3145,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3155,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3165,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3175,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3185,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3195,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3205,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3215,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3225,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3235,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3245,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
3255,N030,,,,,fe184c3b-92c4-4bda-a6cf-aec221d71142,PTM
